,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
0,1,university oxford,20665,11.2,41.0,46.0,95.4,90.5,99.6,98.4,65.5,96.4,"University Offices, Wellington Square, Oxford, Oxfordshire, OX1 2JD, United Kingdom",,,,,,United Kingdom, Oxford,51.7520131,-1.2578499
1,2,california institute technology caltech,2240,6.4,30.0,34.0,94.5,92.1,97.2,97.9,88.0,82.5,"1200 East California Boulevard, Pasadena, California, 91125, United States",,,,,,United States, Pasadena,34.1476452,-118.1444779
2,3,university cambridge,18980,10.9,37.0,47.0,94.4,91.4,98.7,95.8,59.3,95.0,"The Old Schools, Trinity Lane, Cambridge, Cambridgeshire, CB2 1TN, United Kingdom",,,,,,United Kingdom, Cambridge,52.2055314,0.1186637
3,4,stanford university,16135,7.3,23.0,43.0,94.3,92.8,96.4,99.9,66.2,79.5,"450 Jane Stanford Way, Stanford, California, United States",,,,,,United States, Stanford,37.4265407,-122.17030545534064
4,5,massachusetts institute technology,11247,8.6,34.0,39.0,93.6,90.5,92.4,99.5,86.9,89.0,"77 Massachusetts Avenue, Cambridge, Massachusetts, 02139-4307, United States",,,,,,United States, Cambridge,42.3750997,-71.1056157
5,6,princeton university,7983,8.1,25.0,45.0,93.2,90.3,96.3,98.8,58.6,81.1,"Princeton, New Jersey, 08544, United States",,,,,,United States,Princeton,40.3492744,-74.6592958
6,7,harvard university,20823,9.2,24.0,49.0,93.0,89.2,98.6,99.1,47.3,76.3,"Massachusetts Hall, Cambridge, Massachusetts, 02138, United States",,,,,,United States, Cambridge,42.3750997,-71.1056157
7,8,yale university,12402,5.4,20.0,50.0,91.7,92.0,94.8,97.3,52.4,68.7,"New Haven, Connecticut, 06520, United States",,,,,,United States,New Haven,41.3082138,-72.9250518
8,9,university chicago,13833,5.7,28.0,46.0,90.2,89.1,91.4,96.7,52.7,76.0,"Edward H. Levi Hall, 5801 South Ellis Avenue, Chicago, Illinois, 60637, United States",,,,,,United States, Chicago,41.8755616,-87.6244212
9,10,imperial college london,16760,11.6,56.0,38.0,89.8,84.5,87.6,97.0,69.9,97.1,"South Kensington Road, Kensington, London, SW7 2AZ, United Kingdom",,,,,,United Kingdom, Kensington,51.4989948,-0.1991229
10,11,university pennsylvania,20578,6.5,21.0,52.0,89.6,87.5,90.4,98.2,74.0,65.0,"3451 Walnut Street, Philadelphia, Philadelphia, Pennsylvania, 19104, United States",,,,,,United States, Philadelphia,39.9527237,-75.1635262
11,12,johns hopkins university,16171,4.5,26.0,52.0,89.2,81.7,91.4,98.3,91.3,73.2,"Baltimore, Maryland, 21218, United States",,,,,,United States,Baltimore,39.2908816,-76.610759
12,13,university california berkeley,41081,13.7,17.0,50.0,88.3,83.0,90.6,99.2,46.1,70.4,"110 Sproul Hall, Berkeley, California, 94704, United States",,,,,,United States, Berkeley,37.8708393,-122.272863
13,13,eth zurich,18956,12.5,39.0,32.0,88.3,81.8,92.8,90.3,56.8,98.2,"Rämistrasse 101, Zürich, 8092, Switzerland",,,,,,Switzerland, Zürich,47.3744489,8.5410422
14,15,ucl,32665,10.6,52.0,57.0,87.1,77.8,88.7,96.1,42.7,96.2,"Gower Street, London, WC1E 6BT, United Kingdom",,,,,,United Kingdom, London,51.5073359,-0.12765
17,18,university toronto,73370,20.1,21.0,59.0,85.5,76.6,89.5,93.6,50.5,84.7,"27 King's College Circle, Toronto, Ontario, M5S 1A1, Canada",,,,,,Canada, Toronto,43.6534817,-79.3839347
21,22,northwestern university,17951,12.8,20.0,49.0,83.5,74.2,83.8,97.8,78.4,64.1,"633 Clark Street, Evanston, Illinois, 60208, United States",,,,,,United States, Evanston,42.0447388,-87.6930459
22,23,tsinghua university,38783,12.0,11.0,34.0,82.6,86.6,94.0,74.6,100.0,47.4,"1 Qinqhuayuan, Beijing, 100084, China",,,,,,China, Beijing,39.906217,116.3912757
23,24,peking university,39575,11.5,15.0,46.0,82.3,89.1,90.0,73.2,86.6,59.6,"No.5 Yiheyuan Road, Haidian District, Beijing, 100871, China",,,,,,China, Beijing,39.906217,116.3912757
24,25,national university singapore,30869,17.9,28.0,51.0,81.9,76.8,90.4,76.9,58.8,95.5,"21 Lower Kent Ridge Road, 119077, Singapore",,,,,,Singapore, Singapore,1.357107,103.8194992
25,26,university washington,45692,11.1,16.0,53.0,81.6,72.2,82.2,98.6,47.5,60.4,"1410 NE Campus Parkway, Seattle, Washington, 98195-5852, United States",,,,,,United States, Seattle,47.6038321,-122.330062
26,27,carnegie mellon university,13430,13.6,48.0,41.0,81.3,65.9,82.7,98.2,50.5,80.6,"5000 Forbes Ave, Pittsburgh, Pennsylvania, 15213, United States",,,,,,United States, Pittsburgh,40.4416941,-79.9900861
27,27,london school economics and political science,10570,12.1,71.0,53.0,81.3,69.0,83.0,92.8,35.1,93.2,"Houghton Street, London, WC2A 2AE, United Kingdom",,,,,,United Kingdom, London,51.5073359,-0.12765
29,30,university edinburgh,29435,12.8,41.0,60.0,79.4,67.3,74.1,96.4,38.9,93.8,"Old College, South Bridge, Edinburgh, EH8 9YL, United Kingdom",,,,,,United Kingdom, Edinburgh,55.9533456,-3.1883749
30,31,university california san diego,33579,13.0,23.0,46.0,78.8,62.6,78.9,97.7,90.3,63.7,"9500 Gilman Dr, La Jolla, California, 92093, United States",,,,,,United States, La Jolla,32.8401623,-117.2740777
31,32,lmu munich,34519,34.7,17.0,61.0,77.8,68.4,77.0,88.8,100.0,67.2,"Geschwister-Scholl-Platz 1, Munich, 80539, Germany",,,,,,Germany, Munich,48.1371079,11.5753822
32,32,university melbourne,47385,26.3,46.0,56.0,77.8,65.9,74.1,89.8,76.3,93.1,"Grattan Street, Parkville, Victoria, VIC 3010, Australia",,,,,,Australia, Parkville,-37.7871148,144.9515533
33,34,university british columbia,52108,18.1,32.0,55.0,76.3,61.5,73.2,92.5,43.8,94.4,"2900-2424 Main Mall, Vancouver, British Columbia, V6T 1Z4, Canada",,,,,,Canada, Vancouver,49.2608724,-123.113952
34,35,university hong kong,18260,18.2,44.0,54.0,75.9,69.5,77.2,76.6,59.7,98.6,"9/F, Knowles Building Pok Fu Lam Road, Pokfulam, Hong Kong Island, Hong Kong",,,,,,Hong Kong, Hong Kong,22.2793278,114.1628131
35,36,kings college london,26055,12.5,44.0,62.0,75.7,61.3,68.5,94.8,45.6,95.6,"Strand, London, WC2R 2LS, United Kingdom",,,,,,United Kingdom,Strand,51.817725,-2.4107343
36,36,university tokyo,25913,10.6,12.0,,75.7,85.9,89.6,60.7,77.4,38.2,"7-3-1 Hongo, Bunkyo, Tokyo, 113-8654, Japan",,,,,,Japan, Tokyo,35.6812665,139.757653
37,38,ecole polytechnique federale de lausanne,10492,11.4,59.0,28.0,75.4,66.6,66.3,88.3,66.4,98.6,"Route Cantonale, Lausanne, 1015, Switzerland",,,,,,Switzerland, Lausanne,46.5218269,6.6327025
38,38,georgia institute technology,21372,18.3,27.0,33.0,75.4,60.2,76.4,90.4,61.6,77.1,"North Avenue, Atlanta, Georgia, 30332, United States",,,,,,United States, Atlanta,33.7489924,-84.3902644
39,38,university texas austin,49165,17.2,10.0,52.0,75.4,68.2,76.2,93.2,46.6,39.1,"110 Inner Campus Drive, Austin, Texas, 78705, United States",,,,,,United States, Austin,30.2711286,-97.7436995
40,41,karolinska institute,7777,9.0,20.0,68.0,74.7,55.4,71.4,96.1,71.2,81.2,"SE-171 77, Stockholm, Sweden",,,,,,Sweden, Stockholm,59.3251172,18.0710935
41,42,mcgill university,31294,13.0,29.0,58.0,74.3,65.0,71.9,84.7,42.8,90.4,"845 Sherbrooke Street West, Montreal, Quebec, H3A 0G4, Canada",,,,,,Canada, Montreal,45.5031824,-73.5698065
42,43,technical university munich,40472,47.8,27.0,34.0,74.1,64.6,70.4,85.5,100.0,72.9,"Arcisstraße 21, Munich, D-80333, Germany",,,,,,Germany, Munich,48.1371079,11.5753822
43,44,universitat heidelberg,20800,16.1,18.0,54.0,73.5,67.1,60.3,96.2,54.6,67.5,"Grabengasse 1, Heidelberg, Baden-Württemberg, 69117, Germany",,,,,,Germany, Heidelberg,49.4093582,8.694724
44,45,ku leuven,45049,36.3,15.0,50.0,73.2,58.7,73.9,85.3,99.3,71.8,"Oude Markt 13, Leuven, 3000, Belgium",,,,,,Belgium, Leuven,50.879202,4.7011675
45,45,paris sciences et lettres psl research university paris,21298,11.5,26.0,46.0,73.2,71.6,71.4,77.0,52.2,78.7,"60 rue Mazarine, Paris, 75006, France",,,,,,France, Paris,48.8534951,2.3483915
46,47,hong kong university science and technology,10125,22.3,31.0,,73.1,57.4,66.1,89.8,71.9,97.7,"Clear Water Bay, Kowloon, Hong Kong",,,,,,Hong Kong, Kowloon,22.2965739,114.1729841
47,48,university illinois urbana champaign,44916,17.9,24.0,47.0,72.9,63.2,78.0,84.4,47.9,54.3,"901 West Illinois Street, Urbana, Illinois, 61801, United States",,,,,,United States, Urbana,40.1117174,-88.207301
48,48,nanyang technological university singapore,25088,15.9,27.0,48.0,72.9,57.6,70.4,84.9,76.5,95.1,"50 Nanyang Avenue, 639798, Singapore",,,,,,Singapore, Singapore,1.357107,103.8194992
49,50,australian national university,17359,17.8,44.0,52.0,72.1,54.4,69.7,88.4,46.4,95.5,"Acton, Australian Capital Territory, ACT 2601, Australia",,,,,,Australia,Acton,-35.2852323,149.1129681
50,51,university wisconsin madison,39154,10.0,13.0,,72.0,68.8,70.3,85.3,46.3,47.4,"Union South, 1308 W. Dayton St, Madison, Wisconsin, 53715-1149, United States",,,,,,United States, Madison,43.074761,-89.3837613
51,52,washington university st louis,13401,7.5,20.0,,71.5,64.2,57.5,98.8,40.7,57.1,"One Brookings Drive, St. Louis, Missouri, 63130, United States",,,,,,United States, St. Louis,38.6280278,-90.1910154
52,53,brown university,9391,10.8,20.0,,70.0,64.0,56.1,94.9,36.5,61.4,"Providence, Rhode Island, 02912, United States",,,,,,United States,Providence,41.8239891,-71.4128343
53,54,university north carolina chapel hill,35419,9.4,8.0,57.0,69.9,59.7,63.2,96.9,43.9,38.0,"174 Country Club Road, Chapel Hill, North Carolina, 27599, United States",,,,,,United States, Chapel Hill,35.9131542,-79.05578
54,55,university california davis,39164,12.0,14.0,58.0,69.7,62.4,66.9,83.2,51.4,62.4,"1 Shields Avenue, California, 95616, United States",,,,,,United States, California,36.7014631,-118.755997
55,55,university manchester,37040,14.4,40.0,53.0,69.7,56.9,63.8,85.2,44.7,91.0,"Oxford Road, Manchester, Lancashire, M13 9PL, United Kingdom",,,,,,United Kingdom, Manchester,53.4794892,-2.2451148
56,57,university california santa barbara,24089,27.6,16.0,52.0,69.6,47.9,63.6,96.4,84.5,68.1,"Santa Barbara, 552 University Road, California, 93106, United States",,,,,,United States,Santa Barbara,34.4221319,-119.702667
57,57,chinese university hong kong,18340,18.6,32.0,,69.6,55.8,62.8,84.5,55.2,97.8,"Shatin, New Territories, Hong Kong",,,,,,Hong Kong,Shatin,22.4009921,114.2020731
58,59,wageningen university research,13914,21.3,27.0,53.0,69.4,49.3,57.1,96.1,100.0,81.9,"Droevendaalsesteeg 4, Building nr. 104, Wageningen, 6702 PB, Netherlands",,,,,,Netherlands, Wageningen,51.9685817,5.668298061827958
59,60,university sydney,45111,20.1,39.0,58.0,69.3,51.0,61.5,90.7,67.7,89.2,"Sydney, New South Wales, 2006, Australia",,,,,,Australia,Sydney,-33.8698439,151.2082848
60,61,boston university,25662,11.6,27.0,60.0,68.5,57.3,55.6,95.7,41.4,64.4,"One Silber Way, Boston, Massachusetts, 02215, United States",,,,,,United States, Boston,42.3554334,-71.060511
62,62,university southern california,36929,11.7,25.0,53.0,68.1,54.7,59.3,93.1,39.7,66.2,"University of Southern Califor, Los Angeles, California, 90089, United States",,,,,,United States, Los Angeles,34.0536909,-118.242766
63,64,seoul national university,26182,12.4,12.0,,68.0,72.3,71.6,66.5,86.6,35.8,"1 Gwanak-ro, Gwanak-gu, Seoul, 08826, South Korea",,,,,,South Korea, Seoul,37.5666791,126.9782914
64,65,kyoto university,22566,9.0,9.0,24.0,67.7,73.7,78.1,59.9,66.2,33.7,"Yoshida-honmachi, Sakyo-ku, Kyoto, 606-8501, Japan",,,,,,Japan, Kyoto,35.021041,135.7556075
65,66,university queensland,39144,35.7,34.0,55.0,67.4,49.3,58.7,86.8,80.9,92.5,"Brisbane St Lucia, Brisbane, Queensland, QLD 4072, Australia",,,,,,Australia, Brisbane,-27.4689682,153.0234991
67,67,leiden university,28741,18.7,16.0,59.0,66.7,48.3,65.0,83.1,72.7,79.4,"PO Box 9500, Leiden, 2300, Netherlands",,,,,,Netherlands, Leiden,52.1594747,4.4908843
68,69,erasmus university rotterdam,23167,20.4,23.0,51.0,66.3,39.4,57.3,97.1,63.6,87.3,"Burgemeester Oudlaan 50, Rotterdam, 3062 PA, Netherlands",,,,,,Netherlands, Rotterdam,51.9244424,4.47775
69,70,ohio state university main campus,54372,12.5,13.0,50.0,66.1,57.5,56.1,87.3,53.3,59.5,"281 W. Lane Ave, Columbus, Ohio, 43210, United States",,,,,,United States, Columbus,39.9622601,-83.0007065
70,71,unsw sydney,44336,35.7,41.0,47.0,65.9,50.2,58.2,82.9,57.9,93.7,"High St, Kensington, Sydney, New South Wales, NSW 2052, Australia",,,,,,Australia, Kensington,-33.9117191,151.2195058
71,72,mcmaster university,24412,28.1,17.0,55.0,65.4,44.5,50.1,94.8,94.0,82.7,"1280 Main Street West, Hamilton, Ontario, L8S 4L8, Canada",,,,,,Canada, Hamilton,43.2560802,-79.8728583
74,75,monash university,52989,33.9,39.0,57.0,64.7,47.3,56.6,83.8,67.2,89.9,"Wellington Rd, Clayton, Victoria, 3800, Australia",,,,,,Australia, Clayton,-37.9142211,145.1268559
76,77,university warwick,20600,13.2,41.0,49.0,64.6,46.9,52.7,88.8,42.8,93.8,"Gibbert Hall Road, Coventry, Warwickshire, CV4 7AL, United Kingdom",,,,,,United Kingdom, Coventry,52.4081812,-1.510477
77,78,penn state main campus,46204,15.3,16.0,46.0,64.2,55.2,67.1,75.7,52.1,47.4,"201 Old Main, University Park, Pennsylvania, 16802, United States",,,,,,United States, University Park,41.4400344,-87.683377
78,79,university minnesota,61120,12.4,11.0,52.0,64.1,55.2,59.3,82.7,78.2,40.2,"3 Morrill Hall, 100 Church St. S.E., Minneapolis, Minnesota, 55455, United States",,,,,,United States, Minneapolis,44.9772995,-93.2654692
80,80,emory university,12735,4.0,20.0,58.0,64.0,56.0,40.4,98.8,45.4,57.9,"201 Dowman Drive, Atlanta, Georgia, 30322, United States",,,,,,United States, Atlanta,33.7489924,-84.3902644
81,80,university science and technology china,16245,7.7,4.0,,64.0,64.6,59.5,74.7,79.6,31.3,"No.96 Jinzhai Road, Hefei, Anhui, 230026, China",,,,,,China, Hefei,31.8228094,117.2218033
82,80,sorbonne university,43076,13.5,19.0,58.0,64.0,62.3,50.6,79.9,38.4,69.2,"21 Rue de l'Ecole-de-Medecine, Paris, 75006, France",,,,,,France, Paris,48.8534951,2.3483915
83,84,michigan state university,44789,16.5,16.0,51.0,63.9,56.6,57.4,80.0,37.8,63.3,"220 Trowbridge Rd, East Lansing, Michigan, 48824, United States",,,,,,United States, East Lansing,42.7320307,-84.4721678
84,85,university montreal,36794,20.2,22.0,,63.4,48.2,49.7,86.4,70.0,84.1,"2900, boul., Édouard-Montpetit, Montréal, Quebec, H3T 1J4, Canada",,,,,,Canada, Montréal,45.5031824,-73.5698065
86,87,university bristol,21785,13.6,27.0,54.0,63.2,41.8,48.4,95.5,40.9,86.6,"Beacon House, Queens Road, Bristol, Avon, BS8 1QU, United Kingdom",,,,,,United Kingdom, Bristol,51.4538022,-2.5972985
87,88,purdue university west lafayette,40451,15.7,23.0,43.0,63.1,57.5,66.4,63.0,64.3,72.0,"610 Purdue Mall, West Lafayette, Indiana, 47907, United States",,,,,,United States, West Lafayette,40.4258686,-86.9080655
88,89,sungkyunkwan university skku,23342,19.5,15.0,43.0,63.0,57.6,61.2,70.3,97.3,51.1,"25-2 Sungkyunkwan-Ro, Jongno-gu, Seoul, 561-758, South Korea",,,,,,South Korea, Seoul,37.5666791,126.9782914
90,91,university maryland college park,33108,16.6,11.0,48.0,62.7,46.9,59.1,89.6,39.2,41.2,"College Park, MD 20742, Prince George's County, Maryland, 20742, United States",,,,,,United States,College Park,38.980666,-76.9369189
92,93,ecole polytechnique,3030,5.7,40.0,22.0,62.5,59.6,49.1,70.2,69.6,95.2,"Route de Saclay, Palaiseau, 91128, France",,,,,,France, Palaiseau,48.7144587,2.2453842
94,94,dartmouth college,6247,7.7,15.0,49.0,62.4,58.4,39.9,96.4,41.0,39.6,"Hanover, New Hampshire, 03755, United States",,,,,,United States,Hanover,37.744783,-77.4464165
95,96,university california irvine,32706,16.5,26.0,52.0,62.3,43.3,46.5,94.9,58.9,71.9,"Irvine, California, 92697, United States",,,,,,United States,Irvine,33.6856969,-117.8259819
98,99,university glasgow,25355,15.4,37.0,59.0,62.2,41.1,47.9,91.8,40.0,92.3,"Glasgow, G12 8QQ, United Kingdom",,,,,,United Kingdom,Glasgow,55.8606182,-4.2497933
100,101,university copenhagen,31219,4.3,17.0,57.0,62.1,48.1,44.1,89.6,48.1,85.4,"Nørregade 10 Postboks 2177, 1017 København K, Denmark",,,,,,Denmark, Denmark,55.670249,10.3333283
102,102,uppsala university,25438,16.7,15.0,57.0,61.9,41.6,56.4,85.0,74.6,68.1,"P.O. Box 256, SE-751 05, Uppsala, Sweden",,,,,,Sweden, Uppsala,59.8586126,17.6387436
103,104,university arizona,39124,18.4,10.0,52.0,61.8,52.6,53.7,85.3,52.7,40.2,"Tucson, Arizona, AZ 85721, United States",,,,,,United States,Tucson,32.2228765,-110.9748477
105,105,rice university,6667,8.9,28.0,42.0,61.6,49.1,39.7,93.7,45.4,77.0,"6100 Main Street, Houston, Texas, 77005-1827, United States",,,,,,United States, Houston,29.7589382,-95.3676974
106,107,university virginia main campus,23116,8.6,12.0,52.0,61.5,54.4,43.5,91.3,41.6,48.9,"400 Ray C. Hunt Drive, P.O. Box 400229, Charlottesville, Virginia, 22904-4229, United States",,,,,,United States, Charlottesville,38.029306,-78.4766781
107,107,zhejiang university,33427,10.7,22.0,23.0,61.5,66.0,64.7,50.6,100.0,61.8,"866 Yuhangtang Road Hangzhou, Zhejiang Province, Zhejiang, 310058, China",,,,,,China, China,35.000074,104.999927
108,109,fudan university,32537,11.2,12.0,53.0,61.4,61.9,58.6,68.1,58.6,44.8,"220 Handan Road, Shanghai, 200433, China",,,,,,China, Shanghai,31.2323437,121.4691024
109,110,korea advanced institute science and technology kaist,9481,10.2,8.0,20.0,61.3,62.6,66.4,58.1,99.9,35.5,"291 Daehak-ro, Daejeon, 34141, South Korea",,,,,,South Korea, Daejeon,36.3497007,127.3849016
110,110,queen mary university london,17800,14.1,43.0,54.0,61.3,35.3,43.1,98.0,44.1,96.7,"QMUL Accounts Payable, PO Box 68942, London, E1W 9JD, United Kingdom",,,,,,United Kingdom, London,51.5073359,-0.12765
111,112,university birmingham,29540,15.5,29.0,57.0,60.9,39.6,45.6,92.1,39.3,89.2,"Chancellors Court, Edgbaston, Birmingham, West Midlands, B15 2TT, United Kingdom",,,,,,United Kingdom, Birmingham,52.4796992,-1.9026911
113,113,university pittsburgh pittsburgh campus,26652,5.8,11.0,51.0,60.4,47.4,45.5,95.1,40.7,39.3,"4200 Fifth Avenue, Pittsburgh, Pennsylvania, 15260, United States",,,,,,United States, Pittsburgh,40.4416941,-79.9900861
114,115,aarhus university,26842,14.4,9.0,55.0,60.3,37.2,54.0,85.4,66.7,74.8,"Nordre Ringgade 1 8000 Aarhus C, DK - Denmark, Denmark",,,,,,Denmark, Denmark,55.670249,10.3333283
115,116,vanderbilt university,12006,3.0,14.0,54.0,60.2,48.7,42.1,95.4,47.5,43.0,"Nashville, Tennessee, 37240, United States",,,,,,United States,Nashville,36.1622767,-86.7742984
117,117,university sheffield,26220,15.0,34.0,50.0,60.1,45.2,46.4,83.0,45.8,87.3,"Western Bank, Sheffield, South Yorkshire, S10 2TN, United Kingdom",,,,,,United Kingdom, Sheffield,53.3806626,-1.4702278
118,119,case western reserve university,10654,8.8,23.0,50.0,60.0,48.4,39.9,95.3,42.1,52.2,"10900 Euclid Ave, Cleveland, Ohio, 44106, United States",,,,,,United States, Cleveland,41.4996574,-81.6936772
119,120,university adelaide,21093,29.9,29.0,49.0,59.9,34.3,41.6,95.3,64.8,91.7,"North Terrace, Adelaide, South Australia, SA 5005, Australia",,,,,,Australia, Adelaide,-34.9281805,138.5999312
120,120,national taiwan university ntu,27254,11.1,11.0,40.0,59.9,57.0,62.7,64.0,65.4,41.9,"No. 1, Sec 4, Roosevelt Road, Taipei, 10617, Taiwan",,,,,,Taiwan, Taipei,25.0375198,121.5636796
121,122,university southampton,23865,13.7,34.0,53.0,59.8,40.2,44.3,88.0,40.1,94.2,"University Road, Southampton, Hampshire, SO17 1BJ, United Kingdom",,,,,,United Kingdom, Southampton,50.9025349,-1.404189
123,124,university colorado boulder,33186,16.3,11.0,44.0,59.6,44.8,45.6,93.1,41.7,47.3,"Boulder, Colorado, 80309, United States",,,,,,United States,Boulder,40.0149856,-105.270545
128,128,university york,16060,14.9,24.0,56.0,58.9,40.3,46.6,85.1,36.4,85.4,"Heslington, York, Yorkshire, YO10 5DD, United Kingdom",,,,,,United Kingdom,Heslington,53.9443862,-1.0466265
129,130,universite paris cite,61390,15.5,17.0,64.0,58.8,52.0,36.1,88.3,35.6,66.6,"85 boulevard Saint-Germain, cedex 06, Paris, Ile-de-France, 75006, France",,,,,,France, Paris,48.8534951,2.3483915
130,131,university oslo,20783,12.6,17.0,62.0,58.7,39.6,43.8,90.0,40.7,75.5,"P.O. Box 1072 Blindern, 0316 Oslo, Norway",,,,,,Norway, Norway,61.1529386,8.7876653
131,131,university western australia,18400,23.2,29.0,49.0,58.7,32.5,43.9,91.0,57.0,94.3,"35 Stirling Highway, Crawley, Perth, Western Australia, WA 6009, Australia",,,,,,Australia, Crawley,-31.9746305,115.8175988
132,133,durham university,16965,14.8,30.0,55.0,58.5,45.5,47.8,75.5,37.9,91.7,"Stockton Road, Durham, County Durham, DH1 3LE, United Kingdom",,,,,,United Kingdom, Durham,54.666667,-1.75
133,134,indiana university,66872,13.6,15.0,52.0,58.4,50.8,49.7,76.7,49.8,53.5,"IU Bloomington, 107 S. Indiana Ave, Bloomington, Indiana, 47405-7000, United States",,,,,,United States, Bloomington,39.1670396,-86.5342881
134,134,university vienna,33547,40.2,27.0,66.0,58.4,48.1,55.3,64.6,37.1,94.2,"Universitätsring 1 1010, Vienna, Austria",,,,,,Austria, Vienna,48.2083537,16.3725042
135,136,university alberta,31919,21.0,26.0,55.0,58.2,47.9,48.8,70.3,60.5,87.5,"116 St. and 85 Ave., Edmonton, AB, T6G 2R, Canada",,,,,,Canada, Edmonton,53.5462055,-113.491241
136,136,university cape town,21812,11.9,17.0,53.0,58.2,33.2,42.8,90.3,85.3,81.8,"Private Bag X3, Rondebosch, Cape Town, 7701, South Africa",,,,,,South Africa, Rondebosch,-33.9680556,18.4877778
137,138,vrije universiteit amsterdam,23025,16.5,10.0,58.0,58.1,35.7,48.1,88.4,52.5,68.8,"De Boelelaan 1105, Amsterdam, 1081 HV, Netherlands",,,,,,Netherlands, Amsterdam,52.3730796,4.8924534
138,139,lancaster university,12655,12.5,38.0,51.0,58.0,34.7,39.4,92.5,36.0,94.2,"Bailrigg, Lancaster, Lancashire, LA1 4YW, United Kingdom",,,,,,United Kingdom, Lancaster,54.0484068,-2.7990345
139,139,tufts university,11017,9.8,16.0,55.0,58.0,49.1,34.2,94.4,38.6,49.6,"419 Boston Avenue, Dowling Hall Garage, Medford, Massachusetts, 02155-5555, United States",,,,,,United States, Medford,42.4184296,-71.1061639
140,141,university ottawa,35365,24.7,19.0,59.0,57.9,41.3,42.0,86.2,46.5,77.7,"75 Laurier Avenue East, Ottawa, Ontario, K1N 6N5, Canada",,,,,,Canada, Ottawa,45.4208777,-75.6901106
141,141,ulm university,10629,27.7,13.0,48.0,57.9,40.6,36.6,94.9,75.7,57.5,"Helmholtzstraße 16, Ulm, 89081, Germany",,,,,,Germany, Ulm,48.3974003,9.9934336
142,143,pompeu fabra university,11636,21.6,13.0,60.0,57.8,37.7,40.1,94.4,44.5,66.5,"Carrer de la Mercè, 12, Barcelona, 08002, Spain",,,,,,Spain, Barcelona,41.3828939,2.1774322
144,144,nanjing university,34569,15.5,10.0,44.0,57.6,50.7,48.0,71.8,84.9,57.8,"22 Hankou Road, Nanjing, Jiangsu, 210093, China",,,,,,China, Nanjing,32.0615513,118.7915619
145,146,university exeter,21450,17.6,28.0,54.0,57.4,33.9,38.9,92.4,37.8,91.9,"Stocker Road, Exeter, Devon, EX4 4PY, United Kingdom",,,,,,United Kingdom, Exeter,50.7255794,-3.5269497
146,146,pohang university science and technology postech,3215,10.3,3.0,23.0,57.4,51.7,50.9,72.2,99.6,32.9,"77 Cheongam-Ro Nam-Gu, Pohang, Gyeongbuk, 790-784, South Korea",,,,,,South Korea, Pohang,36.0189315,129.3429384
147,146,university sussex,14980,16.1,39.0,54.0,57.4,35.3,37.9,91.8,35.9,93.6,"Sussex House, Falmer, Brighton, East Sussex, BN1 9RH, United Kingdom",,,,,,United Kingdom, Brighton,50.8214626,-0.1400561
149,149,santanna school advanced studies pisa,776,12.4,19.0,35.0,57.3,45.0,42.3,82.5,84.7,56.0,"Piazza Martiri della Libertà,, Pisa, 56127, Italy",,,,,,Italy, Pisa,43.7159395,10.4018624
151,152,universite catholique de louvain,26235,39.3,20.0,53.0,57.2,38.8,51.5,75.7,53.7,80.5,"1 Place de l'Université, Louvain-la-Neuve, B-1348, Belgium",,,,,,Belgium, Louvain-la-Neuve,50.6741689,4.613790587187648
154,155,arizona state university tempe,46683,21.1,21.0,43.0,57.1,39.3,50.7,81.6,38.5,61.8,"Tempe, Arizona, 85287, United States",,,,,,United States,Tempe,33.4255117,-111.9400164
155,155,university leeds,30235,14.2,29.0,61.0,57.1,41.1,45.9,78.0,39.9,87.5,"171-173 Woodhouse Lane, Leeds, West Yorkshire, LS2 9JT, United Kingdom",,,,,,United Kingdom, Leeds,53.7974185,-1.5437941
156,157,autonomous university barcelona,31877,12.6,16.0,59.0,56.9,40.9,36.1,92.9,44.8,64.3,"Placa Civica, Campus de la UAB, Barcelona, 08193, Spain",,,,,,Spain, Barcelona,41.3828939,2.1774322
157,157,university cologne,36965,36.5,16.0,63.0,56.9,43.6,42.9,81.5,70.6,62.9,"University of Cologne Zentraler Rechnungseingang, Postfach 41 09 24, Cologne, 50869, Germany",,,,,,Germany, Cologne,50.938361,6.959974
159,157,university notre dame,12104,13.7,12.0,45.0,56.9,52.9,46.2,73.5,38.1,55.3,"Notre Dame, Indiana, 46556, United States",,,,,,United States,Notre Dame,41.70456775,-86.23822026017265
160,157,shanghai jiao tong university,38853,11.1,13.0,44.0,56.9,58.0,63.0,47.9,99.9,49.8,"800 Dongchuan RD Minhang District, Shanghai, Shanghai, China",,,,,,China, Shanghai,31.2323437,121.4691024
162,163,university wurzburg,24082,36.6,10.0,56.0,56.8,38.7,42.4,87.5,65.6,61.5,"Sanderring 2, Würzburg, 97070, Germany",,,,,,Germany, Würzburg,49.79245,9.932966
163,164,trinity college dublin,16853,21.9,30.0,59.0,56.4,41.7,43.9,75.4,41.2,94.4,"Dublin 2, Dublin, D02 PN40, Ireland",,,,,,Ireland, Dublin,53.3498006,-6.2602964
