,rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address,Country,City,Latitude,Longitude
1328,1001,sumy state university,9293,10.4,13.0,,22.1,19.8,10.0,13.3,37.8,39.8,"2, Rymskogo-Korsakova Street, Sumy, 40007, Ukraine",,,,,,Ukraine, Sumy,50.9119775,34.8027723
1329,1001,suranaree university technology,15901,34.1,1.0,55.0,22.1,19.7,12.3,27.0,44.5,32.1,"111 University Avenue Suranaree Sub-District, Muang Nakhon Ratchasima Dist, Nakhon Ratchasima, 30000, Thailand",,,,,,Thailand, Nakhon Ratchasima,15.2241917,101.9313754
1330,1001,swps university social sciences and humanities,13561,35.3,9.0,74.0,22.1,15.1,12.3,21.0,34.5,51.8,"ul. Chodakowska 19/31, 03-815 Warsaw, Poland",,,,,,Poland, Poland,52.215933,19.134422
1331,1001,szent istvan university,12796,18.7,11.0,49.0,22.1,16.5,10.5,17.8,35.4,40.1,"Páter Károly utca 1., Gödöllő, H-2100, Hungary",,,,,,Hungary, Gödöllő,47.601529,19.3476981
1332,1001,universidad de talca,10795,16.1,1.0,48.0,22.1,15.3,11.2,27.5,44.7,49.5,"1 Poniente #1141, Talca, Chile",,,,,,Chile, Talca,-35.4265343,-71.6660322
1333,1001,tamil nadu agricultural university,6279,7.6,0.0,62.0,22.1,23.5,8.9,2.7,40.5,14.8,"Lawley Road, Coimbatore, 641003, India",,,,,,India, Coimbatore,11.0018115,76.9628425
1335,1001,university tarapaca,8708,25.1,2.0,55.0,22.1,12.7,13.7,10.8,34.4,50.2,"18 de Septiembre, Arica, Arica y Parinacota, Chile",,,,,,Chile, Arica,-18.4785288,-70.3211394
1336,1001,taras shevchenko national university kyiv,23229,8.8,3.0,58.0,22.1,23.5,9.8,8.3,35.0,31.5,"64/13 Volodymyrska Street, Kyiv, 01601, Ukraine",,,,,,Ukraine, Kyiv,50.4500336,30.5241361
1337,1001,technical university cluj napoca,19745,17.9,1.0,36.0,22.1,15.2,9.9,16.9,35.2,21.5,"Str. Memorandumului nr. 28, Cluj-Napoca, Jud. Cluj, 400114, Romania",,,,,,Romania, Cluj-Napoca,46.769379,23.5899542
1340,1001,university technology iraq,10450,6.3,0.0,60.0,22.1,20.5,6.9,20.3,34.6,37.5,"Baghdad, Iraq",,,,,,Iraq,Baghdad,33.3061701,44.3872213
